# Number of reads:   207,358
# Number of matches: 3,465,198
# Alignment mode:  Classifier
# Classifications: Taxonomy SEED EGGNOG GTDB EC INTERPRO2GO
# Summary:
## @Creator	RMA2Info
## @CreationDate	Wed Feb 03 13:57:14 GMT 2021
## @ContentType	Summary4
## @Names	LF_weighted
## @BlastMode	Classifier
## @Uids	1612355091607
## @Sizes	207358.0
## @TotalReads	207358
## @AdditionalReads	0
## Classifications:
##  Taxonomy (1107 classes) SEED (414 classes) EGGNOG (1882 classes) GTDB (720 classes) EC (1385 classes) INTERPRO2GO (3835 classes)
## @Algorithm	Taxonomy	merge
## @Parameters	
## 
# Class to count for 'Taxonomy':
S	4096	2.0
-	1	3761.0
F	2049	2.0
S	51201	4.0
S	4097	2.0
D	2	1587.0
S	104452	1.0
-	139271	2.0
S	159749	3.0
S	2057	2.0
-	2689056	6.0
S	8208	2.0
S	1798155	1.0
S	2070537	6.0
F	31	2.0
S	1196083	1219.0
S	1581113	2.0
S	6182	1.0
-	464929	6.0
G	354349	6.0
S	1196095	3489.0
O	4143	6.0
S	2715675	4.0
-	6200	2.0
S	2705429	2.0
S	1798183	2.0
S	2705428	2.0
S	1798181	2.0
-	981071	1.0
S	6210	1.0
S	2058332	1.0
-	2609250	2.0
S	610380	19.0
S	4170	6.0
-	1912919	1.0
S	2066515	9.0
S	225359	2.0
G	559173	952.0
S	2130	2.0
S	981085	1.0
S	161879	1.0
G	53335	100.0
P	6231	20.0
S	59479	1.0
-	2609279	1.0
S	63577	2.0
G	106589	3.0
S	53345	2.0
F	118882	68.0
S	2203724	1.0
G	113	2.0
F	4210	56.0
S	1679467	7.0
S	1679466	6.0
S	100468	1.0
S	340095	2.0
-	41084	23.0
S	6279	4.0
S	4232	18.0
S	1159321	1.0
S	1296538	9.0
S	4236	6.0
S	161934	4.0
S	137357	1.0
S	411798	21.0
S	401558	2.0
S	6293	5.0
G	57493	2.0
F	6296	5.0
S	1486991	2.0
S	106654	2.0
S	319652	2.0
O	6308	2.0
S	4265	41.0
S	579748	1.0
S	174	1.0
S	67767	14.0
O	6329	4.0
G	6333	11.0
S	6334	4.0
S	710836	1.0
G	191	3.0
S	192	4.0
G	149698	4.0
S	6337	1.0
G	194	2.0
F	82115	43.0
S	456900	48.0
S	6339	9.0
-	1892568	1.0
S	1884368	2.0
S	463051	1.0
S	202956	1.0
S	215250	2.0
-	196816	19.0
O	28883	17.0
S	2083017	4.0
S	155866	4.0
S	1472719	1.0
G	222	8.0
S	252130	2.0
S	28901	9.0
S	2511054	5.0
S	2511055	5.0
S	57577	71.0
G	234	15.0
S	2509004	6.0
G	237	8.0
S	33007	2.0
S	1515746	1.0
C	186623	2.0
F	119045	4.0
G	265	11.0
S	866564	4.0
S	407821	105.0
S	454923	4.0
F	119060	6.0
S	1208583	4.0
F	1499392	4.0
G	2330	4.0
S	1100043	379.0
-	196894	10.0
G	286	60.0
S	287	6.0
S	211228	1.0
S	307492	12.0
S	651561	2.0
S	334116	1.0
S	294	2.0
S	434464	4.0
S	45351	2.0
S	307491	11.0
C	119089	6.0
S	305	3.0
S	1528099	9.0
S	1970474	1.0
S	1986859	1.0
S	133434	2.0
G	129337	4.0
S	1970471	7.0
G	41275	11.0
S	316	1.0
S	1970465	55.0
S	2079008	2.0
F	541000	1.0
K	33090	2.0
S	43335	2.0
S	2027860	6.0
S	137545	2.0
F	41295	2.0
F	41297	2.0
G	338	2.0
S	72019	2.0
S	151894	2.0
G	59732	10.0
S	665950	2.0
S	51543	1.0
S	147802	26.0
S	2015558	2.0
-	1462606	8.0
G	1915205	2.0
F	45401	2.0
S	33114	4.0
S	72026	2.0
S	1954172	1.0
O	356	1844.0
G	357	8.0
S	358	2.0
S	1970550	2.0
S	57706	1.0
S	137591	1.0
G	374	16.0
S	1552750	2.0
G	379	18.0
P	57723	2.0
S	1194345	3.0
S	2687316	1.0
S	29053	2.0
S	382	2.0
F	4479	2.0
-	33154	482.0
S	108931	1.0
S	29058	3.0
S	375175	1.0
S	246144	1.0
S	115081	20.0
S	121225	12.0
F	49546	307.0
G	1434011	2.0
-	102804	14.0
S	2038154	4.0
G	407	4.0
S	1970566	2.0
S	35231	2.0
S	76193	5.0
S	94625	2.0
S	6565	2.0
F	10662	2.0
S	1505726	4.0
S	1505727	67.0
S	561572	62.0
S	1847728	2.0
S	1505723	18.0
S	190892	2.0
O	186802	27.0
S	481719	1.0
F	433	713.0
F	186803	4.0
S	303541	354.0
G	434	31.0
S	4530	1.0
S	6579	4.0
C	186801	2.0
G	441	6.0
S	51642	1.0
S	481723	2.0
-	33213	557.0
F	186817	30.0
O	135622	4.0
-	909768	2.0
F	135621	2.0
O	186826	2000.0
F	186828	6.0
S	1653207	1.0
S	2656760	1.0
S	471511	10.0
S	2656761	4.0
S	2656762	2.0
F	468	4.0
G	469	158.0
P	201174	83.0
S	470	1412.0
G	475	1.0
S	4571	1.0
S	1462733	6.0
S	37344	5.0
F	481	807.0
G	482	59.0
S	487	8.0
-	131567	2008.0
G	497	3.0
S	246266	2.0
F	506	2.0
S	2562524	1.0
S	866801	6.0
S	1511912	2.0
P	6656	677.0
G	517	2.0
S	47621	4.0
S	78345	8.0
G	6668	2.0
S	59916	33.0
S	6669	2.0
G	528	40.0
S	182803	768.0
S	166423	574.0
S	649756	4.0
G	535	2.0
-	1206794	185.0
G	538	8.0
S	539	2.0
F	10780	8.0
S	1243662	1.0
F	543	409.0
S	217634	2.0
G	547	8.0
S	197152	26.0
S	548	5.0
S	549	1.0
-	33317	153.0
S	174628	11.0
S	552	2.0
S	2015799	1.0
S	1970738	450.0
S	562	40.0
S	90675	1.0
S	1909294	4.0
G	568	2.0
S	569	4.0
G	570	4.0
S	571	2.0
-	33340	618.0
S	573	7.0
S	57918	3.0
S	686666	28.0
S	39491	2.0
S	483908	2.0
-	686665	2.0
S	582	1.0
G	583	5.0
S	584	4.0
G	586	2.0
-	37452	2.0
G	590	2.0
C	8782	2.0
S	2482794	2.0
O	72274	20.0
-	2548339	2.0
G	84567	2.0
S	461393	1.0
S	1505866	9.0
C	909932	1.0
-	2630218	1717.0
G	1079922	134.0
S	47715	10.0
G	613	4.0
S	615	2.0
S	227945	2.0
S	137838	4.0
-	33392	1514.0
S	2026094	2.0
-	742010	6.0
S	520822	11.0
F	563835	2.0
G	12916	2.0
G	629	4.0
S	632	2.0
S	1041015	2.0
G	92793	4.0
-	8825	4.0
S	143995	23.0
-	2249310	1.0
-	143999	48.0
-	4734	2.0
S	299642	2.0
S	2107999	2.0
F	641	7.0
G	642	2.0
-	86661	2.0
S	645	4.0
S	2570926	24.0
K	4751	167.0
G	657	2.0
S	2493111	3.0
S	156304	25.0
-	1329799	2.0
S	516756	291.0
S	1981069	2.0
S	983706	1.0
S	43669	2.0
G	662	13.0
S	2493119	2.0
S	88728	1.0
S	666	2.0
S	47770	22.0
S	543379	4.0
-	2685620	61.0
S	670	4.0
S	471704	31.0
G	55968	2.0
S	144034	2.0
S	219809	2.0
S	29348	2.0
-	58024	2.0
-	156330	9.0
S	1231522	2.0
S	29361	1.0
G	2742	2.0
G	27320	2.0
G	2732693	25.0
O	92860	2.0
G	68287	23.0
S	2751	2.0
-	37567	49.0
S	164546	5.0
S	709323	31.0
G	2755	2.0
-	88770	2.0
S	2756	15.0
S	35525	5.0
C	6854	8.0
D	2759	569.0
S	479936	4.0
F	712	18.0
S	1907412	1.0
-	78536	2.0
S	455371	3.0
S	1190620	2.0
G	724	2.0
S	27349	2.0
S	727	10.0
-	43738	84.0
S	84698	2.0
S	176857	1.0
-	43741	74.0
-	1794811	4.0
S	170720	1.0
-	1329911	2.0
S	2562755	2.0
S	2493120	4.0
-	33511	2.0
S	1049336	3.0
S	1825523	2.0
S	747	3.0
S	158441	2.0
-	207598	6.0
S	506608	57.0
S	264956	2.0
S	307972	2.0
G	773	943.0
S	2745121	406.0
S	2745120	1375.0
-	43786	2.0
S	13068	2.0
S	27406	2.0
S	133901	1.0
S	29461	4.0
S	35608	43.0
S	457502	2.0
G	29465	2.0
P	4890	2.0
C	580370	2.0
S	281375	1.0
-	140066	2.0
S	207650	2103.0
S	1796922	4.0
S	420645	1.0
S	133926	2.0
S	1219382	14.0
-	314145	2.0
F	1903416	1.0
S	1219383	14.0
-	314146	3.0
F	1903412	9.0
F	1903414	24.0
S	381742	1.0
F	1903409	19.0
S	6956	1.0
S	47917	2.0
F	1903411	6.0
F	1903410	2.0
G	29487	6.0
G	816	7.0
-	6960	11.0
S	2069292	3.0
S	2745119	1567.0
-	199476	1.0
S	588596	2.0
S	6973	13.0
S	1686310	3621.0
-	117571	32.0
S	13123	1.0
-	43845	2.0
G	838	6.0
S	260936	2.0
-	2624378	2.0
S	851	1.0
S	545617	2.0
F	7002	4.0
S	207710	2.0
P	142182	2.0
S	1485682	2.0
S	2478912	45.0
S	136037	4.0
S	473952	16.0
S	1868660	4.0
-	480117	2.0
S	66420	35.0
S	2069353	6.0
S	35703	4.0
S	2069352	3.0
S	2069351	2.0
S	2069350	95.0
S	2069349	2.0
S	2069348	20.0
S	2069347	58.0
S	2069346	54.0
S	7038	4.0
O	7041	2.0
S	373638	23.0
S	64391	1.0
S	519050	2.0
S	7054	2.0
S	74645	6.0
S	109461	702.0
G	363408	2.0
S	74649	24.0
S	357278	2.0
S	7070	79.0
P	203682	4.0
S	187304	3.0
S	2509718	1.0
-	314293	25.0
G	1778601	236.0
-	314295	2.0
S	948	28.0
C	91061	912.0
