# Number of reads:   216,577
# Number of matches: 3,423,452
# Alignment mode:  Classifier
# Classifications: Taxonomy SEED EGGNOG GTDB EC INTERPRO2GO
# Summary:
## @Creator	RMA2Info
## @CreationDate	Wed Feb 03 19:48:50 GMT 2021
## @ContentType	Summary4
## @Names	PGnos_high_hv13-1
## @BlastMode	Classifier
## @Uids	1612366498265
## @Sizes	216577.0
## @TotalReads	216577
## @AdditionalReads	0
## Classifications:
##  Taxonomy (898 classes) SEED (388 classes) EGGNOG (1851 classes) GTDB (533 classes) EC (1322 classes) INTERPRO2GO (3775 classes)
## @Algorithm	Taxonomy	merge
## @Parameters	
## 
# Class to count for 'Taxonomy':
-	1	1500.0
D	2	874.0
S	4098	2.0
S	104452	2.0
S	159749	14.0
P	6157	2.0
G	22	6.0
S	2070537	2.0
S	460826	1.0
S	1196083	431.0
-	6179	2.0
G	6181	1.0
G	354349	2.0
S	1196095	1025.0
G	36910	4.0
S	36911	9.0
-	6200	5.0
S	4155	2.0
F	335929	2.0
S	1798183	2.0
S	65598	1.0
S	610380	74.0
S	88132	1.0
-	2609248	2.0
-	1912919	2.0
S	2066515	2.0
G	559173	403.0
-	147538	6.0
S	981085	1.0
S	161879	2.0
C	147541	4.0
G	53335	136.0
P	6231	29.0
C	147545	4.0
C	147550	6.0
S	53346	1.0
F	118882	37.0
S	2203724	1.0
F	4210	53.0
S	36987	7.0
-	41084	12.0
S	139390	1.0
-	41088	2.0
S	6279	7.0
S	4232	56.0
S	1159321	14.0
S	1296538	1.0
S	4236	8.0
G	239759	2.0
S	161934	5.0
S	411798	42.0
S	176275	1.0
-	131221	2.0
S	2490545	1.0
F	6296	6.0
G	274591	4.0
S	2511035	26.0
S	272548	2.0
-	1286322	8.0
S	2042042	2.0
S	59560	1.0
S	4265	6.0
S	1697972	1.0
S	67767	55.0
S	69820	2.0
G	6333	10.0
S	192	1.0
G	149698	2.0
S	280772	1.0
S	6337	3.0
F	82115	38.0
S	456900	112.0
S	195	1.0
S	197	1.0
S	936132	2.0
S	463051	8.0
G	258255	2.0
S	61647	2.0
-	196816	5.0
O	28883	2.0
S	2173174	1.0
G	222	59.0
S	55518	3.0
S	28901	18.0
S	2511054	1506.0
S	2511055	84.0
S	57577	19.0
G	234	24.0
S	688394	2.0
-	186625	2.0
S	33028	1.0
F	119045	2.0
-	186628	4.0
G	265	4.0
S	407821	31.0
S	6412	1.0
S	454923	4.0
F	119060	6.0
F	1499392	1.0
G	186650	2.0
S	1100043	87.0
-	196894	12.0
G	286	29.0
S	287	4.0
S	211228	4.0
S	307492	12.0
S	434464	6.0
S	307491	21.0
S	45357	2.0
C	119089	2.0
S	305	2.0
S	1528099	2.0
S	1603886	3.0
S	1462575	8.0
G	41275	6.0
S	1775910	2.0
S	2079010	1.0
S	1970465	17.0
K	33090	2.0
S	72004	1.0
S	108875	1.0
F	41297	5.0
S	147802	4.0
F	45401	2.0
S	33114	2.0
S	4442	1.0
S	347	1.0
S	723287	1.0
S	350	1.0
O	356	1485.0
G	357	4.0
S	358	2.0
S	2687310	2.0
